County-State,County,Population,Median household income,State Code,State
"Holt County, Nebraska",Holt County,10398,46728,NE,Nebraska
"Hooker County, Nebraska",Hooker County,681,37317,NE,Nebraska
"Howard County, Nebraska",Howard County,6347,50030,NE,Nebraska
"Jefferson County, Nebraska",Jefferson County,7433,43008,NE,Nebraska
"Johnson County, Nebraska",Johnson County,5167,45429,NE,Nebraska
"Kearney County, Nebraska",Kearney County,6549,51934,NE,Nebraska
"Keith County, Nebraska",Keith County,8146,41781,NE,Nebraska
"Keya Paha County, Nebraska",Keya Paha County,711,38625,NE,Nebraska
"Kimball County, Nebraska",Kimball County,3720,40242,NE,Nebraska
"Knox County, Nebraska",Knox County,8556,45411,NE,Nebraska
"Lancaster County, Nebraska",Lancaster County,298080,51830,NE,Nebraska
"Lincoln County, Nebraska",Lincoln County,35896,50194,NE,Nebraska
"Logan County, Nebraska",Logan County,851,48281,NE,Nebraska
"Loup County, Nebraska",Loup County,548,55417,NE,Nebraska
"McPherson County, Nebraska",McPherson County,433,54306,NE,Nebraska
"Madison County, Nebraska",Madison County,35111,50218,NE,Nebraska
"Merrick County, Nebraska",Merrick County,7776,51012,NE,Nebraska
"Morrill County, Nebraska",Morrill County,4874,45910,NE,Nebraska
"Nance County, Nebraska",Nance County,3639,42500,NE,Nebraska
"Nemaha County, Nebraska",Nemaha County,7168,49656,NE,Nebraska
"Nuckolls County, Nebraska",Nuckolls County,4391,40488,NE,Nebraska
"Otoe County, Nebraska",Otoe County,15842,50275,NE,Nebraska
"Pawnee County, Nebraska",Pawnee County,2726,41161,NE,Nebraska
"Perkins County, Nebraska",Perkins County,2924,55893,NE,Nebraska
"Phelps County, Nebraska",Phelps County,9216,50404,NE,Nebraska
"Pierce County, Nebraska",Pierce County,7184,54482,NE,Nebraska
"Platte County, Nebraska",Platte County,32642,56318,NE,Nebraska
"Polk County, Nebraska",Polk County,5271,57312,NE,Nebraska
"Red Willow County, Nebraska",Red Willow County,10946,42931,NE,Nebraska
"Richardson County, Nebraska",Richardson County,8201,42750,NE,Nebraska
"Rock County, Nebraska",Rock County,1401,48456,NE,Nebraska
"Saline County, Nebraska",Saline County,14360,51738,NE,Nebraska
"Sarpy County, Nebraska",Sarpy County,169192,70543,NE,Nebraska
"Saunders County, Nebraska",Saunders County,20913,60854,NE,Nebraska
"Scotts Bluff County, Nebraska",Scotts Bluff County,36684,45992,NE,Nebraska
"Seward County, Nebraska",Seward County,16998,59662,NE,Nebraska
"Sheridan County, Nebraska",Sheridan County,5294,41985,NE,Nebraska
"Sherman County, Nebraska",Sherman County,3107,46366,NE,Nebraska
"Sioux County, Nebraska",Sioux County,1249,41215,NE,Nebraska
"Stanton County, Nebraska",Stanton County,6081,53416,NE,Nebraska
"Thayer County, Nebraska",Thayer County,5182,45741,NE,Nebraska
"Thomas County, Nebraska",Thomas County,675,51000,NE,Nebraska
"Thurston County, Nebraska",Thurston County,6946,41266,NE,Nebraska
"Valley County, Nebraska",Valley County,4254,44612,NE,Nebraska
"Washington County, Nebraska",Washington County,20257,65370,NE,Nebraska
"Wayne County, Nebraska",Wayne County,9425,54159,NE,Nebraska
"Webster County, Nebraska",Webster County,3697,40256,NE,Nebraska
"Wheeler County, Nebraska",Wheeler County,847,46394,NE,Nebraska
"York County, Nebraska",York County,13825,51802,NE,Nebraska
"Churchill County, Nevada",Churchill County,24252,47415,NV,Nevada
"Clark County, Nevada",Clark County,2035572,51575,NV,Nevada
"Douglas County, Nevada",Douglas County,47259,58535,NV,Nevada
"Elko County, Nevada",Elko County,51562,71799,NV,Nevada
"Esmeralda County, Nevada",Esmeralda County,1141,39271,NV,Nevada
"Eureka County, Nevada",Eureka County,1669,60250,NV,Nevada
"Humboldt County, Nevada",Humboldt County,17067,65212,NV,Nevada
"Lander County, Nevada",Lander County,5946,78190,NV,Nevada
"Lincoln County, Nevada",Lincoln County,5194,44866,NV,Nevada
"Lyon County, Nevada",Lyon County,51657,47255,NV,Nevada
"Mineral County, Nevada",Mineral County,4566,38923,NV,Nevada
"Nye County, Nevada",Nye County,42625,41712,NV,Nevada
"Pershing County, Nevada",Pershing County,6722,45230,NV,Nevada
"Storey County, Nevada",Storey County,3929,64832,NV,Nevada
"Washoe County, Nevada",Washoe County,435019,52870,NV,Nevada
"White Pine County, Nevada",White Pine County,9974,57122,NV,Nevada
"Carson City, Nevada",Carson City,54482,47668,NV,Nevada
"Belknap County, New Hampshire",Belknap County,60399,62159,NH,New Hampshire
"Carroll County, New Hampshire",Carroll County,47513,53306,NH,New Hampshire
"Cheshire County, New Hampshire",Cheshire County,76430,57782,NH,New Hampshire
"Coos County, New Hampshire",Coos County,31870,42312,NH,New Hampshire
"Grafton County, New Hampshire",Grafton County,89341,55762,NH,New Hampshire
"Hillsborough County, New Hampshire",Hillsborough County,403972,71244,NH,New Hampshire
"Merrimack County, New Hampshire",Merrimack County,147262,65983,NH,New Hampshire
"Rockingham County, New Hampshire",Rockingham County,299006,81198,NH,New Hampshire
"Strafford County, New Hampshire",Strafford County,125273,60711,NH,New Hampshire
"Sullivan County, New Hampshire",Sullivan County,43135,56032,NH,New Hampshire
"Atlantic County, New Jersey",Atlantic County,275376,54461,NJ,New Jersey
"Bergen County, New Jersey",Bergen County,926330,85806,NJ,New Jersey
"Burlington County, New Jersey",Burlington County,450556,78621,NJ,New Jersey
"Camden County, New Jersey",Camden County,511998,62185,NJ,New Jersey
"Cape May County, New Jersey",Cape May County,95805,57637,NJ,New Jersey
"Cumberland County, New Jersey",Cumberland County,157035,49984,NJ,New Jersey
"Essex County, New Jersey",Essex County,791609,53976,NJ,New Jersey
"Gloucester County, New Jersey",Gloucester County,290298,76727,NJ,New Jersey
"Hudson County, New Jersey",Hudson County,662619,59741,NJ,New Jersey
"Hunterdon County, New Jersey",Hunterdon County,126250,105444,NJ,New Jersey
"Mercer County, New Jersey",Mercer County,370212,72804,NJ,New Jersey
"Middlesex County, New Jersey",Middlesex County,830300,79593,NJ,New Jersey
"Monmouth County, New Jersey",Monmouth County,629185,85242,NJ,New Jersey
"Morris County, New Jersey",Morris County,498192,100214,NJ,New Jersey
"Ocean County, New Jersey",Ocean County,583450,61994,NJ,New Jersey
"Passaic County, New Jersey",Passaic County,507574,59739,NJ,New Jersey
"Salem County, New Jersey",Salem County,65120,61831,NJ,New Jersey
"Somerset County, New Jersey",Somerset County,330604,100667,NJ,New Jersey
"Sussex County, New Jersey",Sussex County,145930,86565,NJ,New Jersey
"Union County, New Jersey",Union County,548744,69594,NJ,New Jersey
"Warren County, New Jersey",Warren County,107226,70471,NJ,New Jersey
"Bernalillo County, New Mexico",Bernalillo County,673943,47725,NM,New Mexico
"Catron County, New Mexico",Catron County,3583,42973,NM,New Mexico
"Chaves County, New Mexico",Chaves County,65811,40630,NM,New Mexico
"Cibola County, New Mexico",Cibola County,27382,34565,NM,New Mexico
"Colfax County, New Mexico",Colfax County,12997,32380,NM,New Mexico
"Curry County, New Mexico",Curry County,50497,41084,NM,New Mexico
"De Baca County, New Mexico",De Baca County,2020,32500,NM,New Mexico
"Do��a Ana County, New Mexico",Do��a Ana County,213963,38853,NM,New Mexico
"Eddy County, New Mexico",Eddy County,55641,56618,NM,New Mexico
"Grant County, New Mexico",Grant County,29119,38311,NM,New Mexico
"Guadalupe County, New Mexico",Guadalupe County,4526,30772,NM,New Mexico
"Harding County, New Mexico",Harding County,565,33393,NM,New Mexico
"Hidalgo County, New Mexico",Hidalgo County,4643,34444,NM,New Mexico
"Lea County, New Mexico",Lea County,68149,57533,NM,New Mexico
"Lincoln County, New Mexico",Lincoln County,19931,40708,NM,New Mexico
"Los Alamos County, New Mexico",Los Alamos County,17939,101934,NM,New Mexico
"Luna County, New Mexico",Luna County,24789,27476,NM,New Mexico
"McKinley County, New Mexico",McKinley County,73998,28772,NM,New Mexico
"Mora County, New Mexico",Mora County,4660,23822,NM,New Mexico
"Otero County, New Mexico",Otero County,65318,39775,NM,New Mexico
"Quay County, New Mexico",Quay County,8698,29113,NM,New Mexico
"Rio Arriba County, New Mexico",Rio Arriba County,39949,36098,NM,New Mexico
"Roosevelt County, New Mexico",Roosevelt County,19908,35546,NM,New Mexico
"Sandoval County, New Mexico",Sandoval County,136638,58982,NM,New Mexico
"San Juan County, New Mexico",San Juan County,125133,48671,NM,New Mexico
"San Miguel County, New Mexico",San Miguel County,28668,29237,NM,New Mexico
"Santa Fe County, New Mexico",Santa Fe County,147108,54315,NM,New Mexico
"Sierra County, New Mexico",Sierra County,11615,29356,NM,New Mexico
"Socorro County, New Mexico",Socorro County,17494,34037,NM,New Mexico
"Taos County, New Mexico",Taos County,32943,36582,NM,New Mexico
"Torrance County, New Mexico",Torrance County,15853,32083,NM,New Mexico
"Union County, New Mexico",Union County,4339,36070,NM,New Mexico
"Valencia County, New Mexico",Valencia County,76297,41703,NM,New Mexico
"Albany County, New York",Albany County,307463,59887,NY,New York
"Allegany County, New York",Allegany County,48070,42776,NY,New York
"Bronx County, New York",Bronx County,1428357,34299,NY,New York
"Broome County, New York",Broome County,198093,46261,NY,New York
"Cattaraugus County, New York",Cattaraugus County,78962,42601,NY,New York
"Cayuga County, New York",Cayuga County,79173,52082,NY,New York
"Chautauqua County, New York",Chautauqua County,132646,42993,NY,New York
"Chemung County, New York",Chemung County,88267,50320,NY,New York
"Chenango County, New York",Chenango County,49549,45668,NY,New York
"Clinton County, New York",Clinton County,81685,49930,NY,New York
"Columbia County, New York",Columbia County,62195,59105,NY,New York
"Cortland County, New York",Cortland County,49043,49514,NY,New York
"Delaware County, New York",Delaware County,46901,43720,NY,New York
"Dutchess County, New York",Dutchess County,296928,71904,NY,New York
"Erie County, New York",Erie County,921584,51247,NY,New York
"Essex County, New York",Essex County,38912,52758,NY,New York
"Franklin County, New York",Franklin County,51280,47923,NY,New York
"Fulton County, New York",Fulton County,54606,46969,NY,New York
"Genesee County, New York",Genesee County,59458,50880,NY,New York
"Greene County, New York",Greene County,48312,50278,NY,New York
"Hamilton County, New York",Hamilton County,4760,48243,NY,New York
"Herkimer County, New York",Herkimer County,64034,46229,NY,New York
"Jefferson County, New York",Jefferson County,118947,49505,NY,New York
"Kings County, New York",Kings County,2595259,48201,NY,New York
"Lewis County, New York",Lewis County,27124,49819,NY,New York
"Livingston County, New York",Livingston County,64801,51734,NY,New York
"Madison County, New York",Madison County,72427,54145,NY,New York
"Monroe County, New York",Monroe County,749356,52553,NY,New York
"Montgomery County, New York",Montgomery County,49779,43764,NY,New York
"Nassau County, New York",Nassau County,1354612,99465,NY,New York
"New York County, New York",New York County,1629507,72871,NY,New York
"Niagara County, New York",Niagara County,214150,49449,NY,New York
"Oneida County, New York",Oneida County,233558,48246,NY,New York
"Onondaga County, New York",Onondaga County,468304,55092,NY,New York
"Ontario County, New York",Ontario County,109192,57416,NY,New York
"Orange County, New York",Orange County,375384,70848,NY,New York
"Orleans County, New York",Orleans County,42204,46359,NY,New York
"Oswego County, New York",Oswego County,121183,47860,NY,New York
"Otsego County, New York",Otsego County,61399,48588,NY,New York
"Putnam County, New York",Putnam County,99488,96148,NY,New York
"Queens County, New York",Queens County,2301139,57720,NY,New York
"Rensselaer County, New York",Rensselaer County,159900,60709,NY,New York
"Richmond County, New York",Richmond County,472481,73197,NY,New York
"Rockland County, New York",Rockland County,320688,84855,NY,New York
"St. Lawrence County, New York",St. Lawrence County,112011,44705,NY,New York
"Saratoga County, New York",Saratoga County,223774,71496,NY,New York
"Schenectady County, New York",Schenectady County,154796,58114,NY,New York
"Schoharie County, New York",Schoharie County,31913,51195,NY,New York
"Schuyler County, New York",Schuyler County,18410,47680,NY,New York
"Seneca County, New York",Seneca County,35144,49292,NY,New York
"Steuben County, New York",Steuben County,98665,47280,NY,New York
"Suffolk County, New York",Suffolk County,1501373,88663,NY,New York
"Sullivan County, New York",Sullivan County,76330,50710,NY,New York
"Tioga County, New York",Tioga County,50199,57514,NY,New York
"Tompkins County, New York",Tompkins County,103855,52624,NY,New York
"Ulster County, New York",Ulster County,181300,58918,NY,New York
"Warren County, New York",Warren County,65180,56798,NY,New York
"Washington County, New York",Washington County,62700,51143,NY,New York
"Wayne County, New York",Wayne County,92416,50798,NY,New York
"Westchester County, New York",Westchester County,967315,83958,NY,New York
"Wyoming County, New York",Wyoming County,41446,52564,NY,New York
"Yates County, New York",Yates County,25187,49510,NY,New York
"Alamance County, North Carolina",Alamance County,155258,41814,NC,North Carolina
"Alexander County, North Carolina",Alexander County,37158,39365,NC,North Carolina
"Alleghany County, North Carolina",Alleghany County,10911,36968,NC,North Carolina
"Anson County, North Carolina",Anson County,26135,33228,NC,North Carolina
"Ashe County, North Carolina",Ashe County,27114,36267,NC,North Carolina
"Avery County, North Carolina",Avery County,17695,37777,NC,North Carolina
"Beaufort County, North Carolina",Beaufort County,47561,40391,NC,North Carolina
"Bertie County, North Carolina",Bertie County,20518,30027,NC,North Carolina
"Bladen County, North Carolina",Bladen County,34720,30096,NC,North Carolina
"Brunswick County, North Carolina",Brunswick County,115926,46859,NC,North Carolina
"Buncombe County, North Carolina",Buncombe County,247336,45167,NC,North Carolina
"Burke County, North Carolina",Burke County,89548,39360,NC,North Carolina
"Cabarrus County, North Carolina",Cabarrus County,188375,54720,NC,North Carolina
"Caldwell County, North Carolina",Caldwell County,81758,35763,NC,North Carolina
"Camden County, North Carolina",Camden County,10161,58780,NC,North Carolina
"Carteret County, North Carolina",Carteret County,68228,48457,NC,North Carolina
"Caswell County, North Carolina",Caswell County,23174,37869,NC,North Carolina
"Catawba County, North Carolina",Catawba County,154610,44376,NC,North Carolina
"Chatham County, North Carolina",Chatham County,67431,56642,NC,North Carolina
"Cherokee County, North Carolina",Cherokee County,27092,34662,NC,North Carolina
"Chowan County, North Carolina",Chowan County,14656,38759,NC,North Carolina
"Clay County, North Carolina",Clay County,10656,37076,NC,North Carolina
"Cleveland County, North Carolina",Cleveland County,97178,39453,NC,North Carolina
"Columbus County, North Carolina",Columbus County,57230,34949,NC,North Carolina
"Craven County, North Carolina",Craven County,104450,47985,NC,North Carolina
"Cumberland County, North Carolina",Cumberland County,324603,44171,NC,North Carolina
"Currituck County, North Carolina",Currituck County,24492,60600,NC,North Carolina
"Dare County, North Carolina",Dare County,34863,54496,NC,North Carolina
"Davidson County, North Carolina",Davidson County,163867,43363,NC,North Carolina
"Davie County, North Carolina",Davie County,41447,51527,NC,North Carolina
"Duplin County, North Carolina",Duplin County,59453,35035,NC,North Carolina
"Durham County, North Carolina",Durham County,288817,52503,NC,North Carolina
"Edgecombe County, North Carolina",Edgecombe County,55280,32659,NC,North Carolina
"Forsyth County, North Carolina",Forsyth County,361684,45471,NC,North Carolina
"Franklin County, North Carolina",Franklin County,62296,42685,NC,North Carolina
"Gaston County, North Carolina",Gaston County,209807,42429,NC,North Carolina
"Gates County, North Carolina",Gates County,11724,49258,NC,North Carolina
"Graham County, North Carolina",Graham County,8700,34805,NC,North Carolina
"Granville County, North Carolina",Granville County,58109,50225,NC,North Carolina
"Greene County, North Carolina",Greene County,21328,35777,NC,North Carolina
"Guilford County, North Carolina",Guilford County,506763,45651,NC,North Carolina
"Halifax County, North Carolina",Halifax County,53407,32245,NC,North Carolina
"Harnett County, North Carolina",Harnett County,124320,46353,NC,North Carolina
"Haywood County, North Carolina",Haywood County,59170,42257,NC,North Carolina
"Henderson County, North Carolina",Henderson County,109719,46448,NC,North Carolina
"Hertford County, North Carolina",Hertford County,24368,33008,NC,North Carolina
"Hoke County, North Carolina",Hoke County,51075,41542,NC,North Carolina
"Hyde County, North Carolina",Hyde County,5693,42897,NC,North Carolina
"Iredell County, North Carolina",Iredell County,165066,52306,NC,North Carolina
"Jackson County, North Carolina",Jackson County,40812,38015,NC,North Carolina
"Johnston County, North Carolina",Johnston County,178396,50512,NC,North Carolina
"Jones County, North Carolina",Jones County,10166,34005,NC,North Carolina
"Lee County, North Carolina",Lee County,59418,45608,NC,North Carolina
"Lenoir County, North Carolina",Lenoir County,58782,34717,NC,North Carolina
"Lincoln County, North Carolina",Lincoln County,79578,49215,NC,North Carolina
"McDowell County, North Carolina",McDowell County,44961,35965,NC,North Carolina
"Macon County, North Carolina",Macon County,33919,39133,NC,North Carolina
"Madison County, North Carolina",Madison County,21027,37904,NC,North Carolina
"Martin County, North Carolina",Martin County,23729,35080,NC,North Carolina
"Mecklenburg County, North Carolina",Mecklenburg County,990288,56854,NC,North Carolina
"Mitchell County, North Carolina",Mitchell County,15330,37391,NC,North Carolina
"Montgomery County, North Carolina",Montgomery County,27601,32500,NC,North Carolina
"Moore County, North Carolina",Moore County,91743,50998,NC,North Carolina
"Nash County, North Carolina",Nash County,94722,42713,NC,North Carolina
"New Hanover County, North Carolina",New Hanover County,213091,50088,NC,North Carolina
"Northampton County, North Carolina",Northampton County,21011,30429,NC,North Carolina
"Onslow County, North Carolina",Onslow County,183753,46335,NC,North Carolina
"Orange County, North Carolina",Orange County,138644,59290,NC,North Carolina
"Pamlico County, North Carolina",Pamlico County,12982,43444,NC,North Carolina
"Pasquotank County, North Carolina",Pasquotank County,40018,45378,NC,North Carolina
"Pender County, North Carolina",Pender County,55166,44828,NC,North Carolina
"Perquimans County, North Carolina",Perquimans County,13498,44329,NC,North Carolina
"Person County, North Carolina",Person County,39262,42105,NC,North Carolina
"Pitt County, North Carolina",Pitt County,173798,41119,NC,North Carolina
"Polk County, North Carolina",Polk County,20327,46528,NC,North Carolina
"Randolph County, North Carolina",Randolph County,142370,41947,NC,North Carolina
"Richmond County, North Carolina",Richmond County,46046,32687,NC,North Carolina
"Robeson County, North Carolina",Robeson County,134871,30608,NC,North Carolina
"Rockingham County, North Carolina",Rockingham County,92300,38126,NC,North Carolina
"Rowan County, North Carolina",Rowan County,138361,43069,NC,North Carolina
"Rutherford County, North Carolina",Rutherford County,66865,35630,NC,North Carolina
"Sampson County, North Carolina",Sampson County,63873,35490,NC,North Carolina
"Scotland County, North Carolina",Scotland County,35932,30958,NC,North Carolina
"Stanly County, North Carolina",Stanly County,60586,40910,NC,North Carolina
"Stokes County, North Carolina",Stokes County,46661,40696,NC,North Carolina
"Surry County, North Carolina",Surry County,73170,36164,NC,North Carolina
"Swain County, North Carolina",Swain County,14163,33931,NC,North Carolina
"Transylvania County, North Carolina",Transylvania County,32928,45114,NC,North Carolina
"Tyrrell County, North Carolina",Tyrrell County,4152,32361,NC,North Carolina
"Union County, North Carolina",Union County,213422,65903,NC,North Carolina
"Vance County, North Carolina",Vance County,44829,33316,NC,North Carolina
"Wake County, North Carolina",Wake County,976019,67309,NC,North Carolina
"Warren County, North Carolina",Warren County,20468,34254,NC,North Carolina
"Washington County, North Carolina",Washington County,12668,34538,NC,North Carolina
"Watauga County, North Carolina",Watauga County,52240,37656,NC,North Carolina
"Wayne County, North Carolina",Wayne County,124355,40390,NC,North Carolina
"Wilkes County, North Carolina",Wilkes County,68946,33232,NC,North Carolina
"Wilson County, North Carolina",Wilson County,81581,39847,NC,North Carolina
"Yadkin County, North Carolina",Yadkin County,37971,37796,NC,North Carolina
"Yancey County, North Carolina",Yancey County,17604,37484,NC,North Carolina
"Adams County, North Dakota",Adams County,2341,52118,ND,North Dakota
"Barnes County, North Dakota",Barnes County,11097,53141,ND,North Dakota
"Benson County, North Dakota",Benson County,6794,41296,ND,North Dakota
"Billings County, North Dakota",Billings County,969,70469,ND,North Dakota
"Bottineau County, North Dakota",Bottineau County,6634,56349,ND,North Dakota
"Bowman County, North Dakota",Bowman County,3221,66845,ND,North Dakota
"Burke County, North Dakota",Burke County,2208,60096,ND,North Dakota
"Burleigh County, North Dakota",Burleigh County,88223,65254,ND,North Dakota
"Cass County, North Dakota",Cass County,162500,53289,ND,North Dakota
"Cavalier County, North Dakota",Cavalier County,3890,66806,ND,North Dakota
"Dickey County, North Dakota",Dickey County,5195,53750,ND,North Dakota
"Divide County, North Dakota",Divide County,2314,56042,ND,North Dakota
"Dunn County, North Dakota",Dunn County,4195,69732,ND,North Dakota
"Eddy County, North Dakota",Eddy County,2370,48583,ND,North Dakota
"Emmons County, North Dakota",Emmons County,3463,44051,ND,North Dakota
"Foster County, North Dakota",Foster County,3366,55769,ND,North Dakota
"Golden Valley County, North Dakota",Golden Valley County,1822,40179,ND,North Dakota
"Grand Forks County, North Dakota",Grand Forks County,68979,48676,ND,North Dakota
"Grant County, North Dakota",Grant County,2362,44559,ND,North Dakota
"Griggs County, North Dakota",Griggs County,2329,48355,ND,North Dakota
"Hettinger County, North Dakota",Hettinger County,2621,52169,ND,North Dakota
"Kidder County, North Dakota",Kidder County,2430,54559,ND,North Dakota
"LaMoure County, North Dakota",LaMoure County,4113,54821,ND,North Dakota
"Logan County, North Dakota",Logan County,1945,51458,ND,North Dakota
"McHenry County, North Dakota",McHenry County,5817,57386,ND,North Dakota
"McIntosh County, North Dakota",McIntosh County,2759,42277,ND,North Dakota
"McKenzie County, North Dakota",McKenzie County,9615,72794,ND,North Dakota
"McLean County, North Dakota",McLean County,9451,55686,ND,North Dakota
"Mercer County, North Dakota",Mercer County,8633,72704,ND,North Dakota
"Morton County, North Dakota",Morton County,28985,62418,ND,North Dakota
"Mountrail County, North Dakota",Mountrail County,9253,68188,ND,North Dakota
"Nelson County, North Dakota",Nelson County,3048,51085,ND,North Dakota
"Oliver County, North Dakota",Oliver County,1819,60278,ND,North Dakota
"Pembina County, North Dakota",Pembina County,7206,53504,ND,North Dakota
"Pierce County, North Dakota",Pierce County,4395,42563,ND,North Dakota
"Ramsey County, North Dakota",Ramsey County,11566,50841,ND,North Dakota
"Ransom County, North Dakota",Ransom County,5453,56500,ND,North Dakota
"Renville County, North Dakota",Renville County,2562,65125,ND,North Dakota
"Richland County, North Dakota",Richland County,16317,55390,ND,North Dakota
"Rolette County, North Dakota",Rolette County,14498,33277,ND,North Dakota
"Sargent County, North Dakota",Sargent County,3874,57125,ND,North Dakota
"Sheridan County, North Dakota",Sheridan County,1337,48102,ND,North Dakota
"Sioux County, North Dakota",Sioux County,4380,38068,ND,North Dakota
"Slope County, North Dakota",Slope County,673,55000,ND,North Dakota
"Stark County, North Dakota",Stark County,28628,72099,ND,North Dakota
"Steele County, North Dakota",Steele County,1979,55833,ND,North Dakota
"Stutsman County, North Dakota",Stutsman County,21076,52359,ND,North Dakota
"Towner County, North Dakota",Towner County,2294,56625,ND,North Dakota
"Traill County, North Dakota",Traill County,8077,54960,ND,North Dakota
"Walsh County, North Dakota",Walsh County,11005,49411,ND,North Dakota
"Ward County, North Dakota",Ward County,67736,61393,ND,North Dakota
"Wells County, North Dakota",Wells County,4204,48098,ND,North Dakota
"Williams County, North Dakota",Williams County,29619,88013,ND,North Dakota
"Adams County, Ohio",Adams County,28229,35560,OH,Ohio
"Allen County, Ohio",Allen County,105196,44103,OH,Ohio
"Ashland County, Ohio",Ashland County,53189,48003,OH,Ohio
"Ashtabula County, Ohio",Ashtabula County,99777,40544,OH,Ohio
"Athens County, Ohio",Athens County,64974,33872,OH,Ohio
"Auglaize County, Ohio",Auglaize County,45873,54274,OH,Ohio
"Belmont County, Ohio",Belmont County,69560,43833,OH,Ohio
"Brown County, Ohio",Brown County,44247,45568,OH,Ohio
"Butler County, Ohio",Butler County,372538,57540,OH,Ohio
"Carroll County, Ohio",Carroll County,28361,47075,OH,Ohio
"Champaign County, Ohio",Champaign County,39393,50974,OH,Ohio
"Clark County, Ohio",Clark County,136827,43625,OH,Ohio
"Clermont County, Ohio",Clermont County,200285,60805,OH,Ohio
"Clinton County, Ohio",Clinton County,41892,46787,OH,Ohio
"Columbiana County, Ohio",Columbiana County,105987,44497,OH,Ohio
"Coshocton County, Ohio",Coshocton County,36724,41701,OH,Ohio
"Crawford County, Ohio",Crawford County,42725,40795,OH,Ohio
"Cuyahoga County, Ohio",Cuyahoga County,1263189,44190,OH,Ohio
"Darke County, Ohio",Darke County,52356,44632,OH,Ohio
"Defiance County, Ohio",Defiance County,38669,50663,OH,Ohio
"Delaware County, Ohio",Delaware County,185433,91955,OH,Ohio
"Erie County, Ohio",Erie County,76141,48011,OH,Ohio
"Fairfield County, Ohio",Fairfield County,149112,60567,OH,Ohio
"Fayette County, Ohio",Fayette County,28769,40503,OH,Ohio
"Franklin County, Ohio",Franklin County,1215761,52341,OH,Ohio
"Fulton County, Ohio",Fulton County,42485,55120,OH,Ohio
"Gallia County, Ohio",Gallia County,30565,37319,OH,Ohio
"Geauga County, Ohio",Geauga County,93874,72430,OH,Ohio
"Greene County, Ohio",Greene County,164192,60113,OH,Ohio
"Guernsey County, Ohio",Guernsey County,39626,40930,OH,Ohio
"Hamilton County, Ohio",Hamilton County,804194,49013,OH,Ohio
"Hancock County, Ohio",Hancock County,75428,50895,OH,Ohio
"Hardin County, Ohio",Hardin County,31736,42703,OH,Ohio
"Harrison County, Ohio",Harrison County,15633,43173,OH,Ohio
"Henry County, Ohio",Henry County,28015,53835,OH,Ohio
"Highland County, Ohio",Highland County,43170,39858,OH,Ohio
"Hocking County, Ohio",Hocking County,28914,42170,OH,Ohio
"Holmes County, Ohio",Holmes County,43436,51996,OH,Ohio
"Huron County, Ohio",Huron County,58937,48745,OH,Ohio
"Jackson County, Ohio",Jackson County,32854,39460,OH,Ohio
"Jefferson County, Ohio",Jefferson County,68053,41942,OH,Ohio
"Knox County, Ohio",Knox County,61004,48533,OH,Ohio
"Lake County, Ohio",Lake County,229437,58029,OH,Ohio
"Lawrence County, Ohio",Lawrence County,61827,42874,OH,Ohio
"Licking County, Ohio",Licking County,168693,56549,OH,Ohio
"Logan County, Ohio",Logan County,45484,49783,OH,Ohio
"Lorain County, Ohio",Lorain County,303152,52457,OH,Ohio
"Lucas County, Ohio",Lucas County,436261,41777,OH,Ohio
"Madison County, Ohio",Madison County,43456,57406,OH,Ohio
"Mahoning County, Ohio",Mahoning County,234550,41375,OH,Ohio
"Marion County, Ohio",Marion County,65943,42966,OH,Ohio
"Medina County, Ohio",Medina County,174831,66952,OH,Ohio
"Meigs County, Ohio",Meigs County,23473,37813,OH,Ohio
"Mercer County, Ohio",Mercer County,40863,53099,OH,Ohio
"Miami County, Ohio",Miami County,103517,51569,OH,Ohio
"Monroe County, Ohio",Monroe County,14547,41528,OH,Ohio
"Montgomery County, Ohio",Montgomery County,533763,43829,OH,Ohio
"Morgan County, Ohio",Morgan County,14913,37067,OH,Ohio
"Morrow County, Ohio",Morrow County,34996,51993,OH,Ohio
"Muskingum County, Ohio",Muskingum County,86016,41130,OH,Ohio
"Noble County, Ohio",Noble County,14508,41708,OH,Ohio
"Ottawa County, Ohio",Ottawa County,41162,53914,OH,Ohio
"Paulding County, Ohio",Paulding County,19165,45550,OH,Ohio
"Perry County, Ohio",Perry County,36025,42017,OH,Ohio
"Pickaway County, Ohio",Pickaway County,56515,57439,OH,Ohio
"Pike County, Ohio",Pike County,28396,40283,OH,Ohio
"Portage County, Ohio",Portage County,161897,52552,OH,Ohio
"Preble County, Ohio",Preble County,41682,47818,OH,Ohio
"Putnam County, Ohio",Putnam County,34184,60524,OH,Ohio
"Richland County, Ohio",Richland County,122312,41877,OH,Ohio
"Ross County, Ohio",Ross County,77334,43345,OH,Ohio
"Sandusky County, Ohio",Sandusky County,60187,47209,OH,Ohio
"Scioto County, Ohio",Scioto County,78017,35903,OH,Ohio
"Seneca County, Ohio",Seneca County,55929,45444,OH,Ohio
"Shelby County, Ohio",Shelby County,49067,54550,OH,Ohio
"Stark County, Ohio",Stark County,374979,47137,OH,Ohio
"Summit County, Ohio",Summit County,541847,50765,OH,Ohio
"Trumbull County, Ohio",Trumbull County,206373,43073,OH,Ohio
"Tuscarawas County, Ohio",Tuscarawas County,92697,45310,OH,Ohio
"Union County, Ohio",Union County,53470,67382,OH,Ohio
"Van Wert County, Ohio",Van Wert County,28576,48060,OH,Ohio
